Frequency (Hz)	Level (dB)
1553.082275	-65.068001
1555.773926	-66.168633
1558.465576	-69.513664
1561.157227	-70.402748
1563.848877	-72.141136
1566.540527	-76.000259
1569.232178	-71.911743
1571.923828	-69.909142
1574.615479	-74.772186
1577.307129	-80.013542
1579.998779	-70.381126
1582.690430	-72.504700
1585.382080	-73.144875
1588.073730	-73.193619
1590.765381	-74.795906
1593.457031	-82.992058
1596.148682	-73.134430
1598.840332	-71.522408
1601.531982	-73.869148
1604.223633	-70.952324
1606.915283	-73.203072
1609.606934	-75.664398
1612.298584	-76.451881
1614.990234	-71.952644
1617.681885	-69.750847
1620.373535	-72.156883
1623.065186	-69.537285
1625.756836	-69.172150
1628.448486	-77.678772
1631.140137	-79.393608
1633.831787	-77.780708
1636.523438	-71.394333
1639.215088	-73.064278
1641.906738	-77.317902
1644.598389	-76.845001
1647.290039	-75.060722
1649.981689	-72.320145
1652.673340	-73.592049
1655.364990	-72.855652
1658.056641	-71.111893
1660.748291	-84.989693
1663.439941	-73.736847
1666.131592	-74.289833
1668.823242	-83.942841
1671.514893	-77.597130
1674.206543	-76.528297
1676.898193	-78.095154
1679.589844	-73.618782
1682.281494	-80.399643
1684.973145	-79.943878
1687.664795	-70.728889
1690.356445	-70.826988
1693.048096	-70.176994
1695.739746	-68.659523
1698.431396	-70.186928
1701.123047	-76.250832
1703.814697	-75.451836
1706.506348	-70.325310
1709.197998	-68.090889
1711.889648	-72.189072
1714.581299	-76.575722
1717.272949	-72.354828
1719.964600	-72.986626
1722.656250	-77.238831
1725.347900	-78.851860
1728.039551	-78.825287
1730.731201	-85.646965
1733.422852	-85.327286
1736.114502	-82.822060
1738.806152	-79.540405
1741.497803	-74.736977
1744.189453	-74.069443
1746.881104	-81.266449
1749.572754	-80.128174
1752.264404	-85.537979
1754.956055	-86.709526
1757.647705	-81.372856
1760.339355	-80.422760
1763.031006	-79.217148
1765.722656	-87.921432
1768.414307	-81.089775
1771.105957	-77.403694
1773.797607	-76.600624
1776.489258	-73.947372
1779.180908	-71.716553
1781.872559	-77.301422
1784.564209	-84.403290
1787.255859	-81.954773
1789.947510	-73.659294
1792.639160	-74.811241
1795.330811	-77.021805
1798.022461	-73.054428
1800.714111	-74.030876
1803.405762	-78.731903
1806.097412	-76.473457
1808.789062	-75.668083
1811.480713	-64.608002
1814.172363	-63.777309
1816.864014	-77.017868
1819.555664	-65.733345
1822.247314	-64.740135
1824.938965	-73.616905
1827.630615	-68.688705
1830.322266	-67.247330
1833.013916	-77.116776
1835.705566	-77.018608
1838.397217	-73.654137
1841.088867	-72.743172
1843.780518	-69.516731
1846.472168	-70.512840
1849.163818	-72.864052
1851.855469	-69.038254
1854.547119	-72.251328
1857.238770	-75.901764
1859.930420	-76.290764
1862.622070	-75.992195
1865.313721	-74.297722
1868.005371	-73.737534
1870.697021	-77.406120
1873.388672	-71.089722
1876.080322	-74.084091
1878.771973	-76.261322
1881.463623	-68.941383
1884.155273	-65.459801
1886.846924	-64.102394
1889.538574	-60.958111
1892.230225	-59.839245
1894.921875	-64.241364
1897.613525	-69.614952
1900.305176	-68.415428
1902.996826	-75.434906
1905.688477	-68.491425
1908.380127	-63.792175
1911.071777	-63.029915
1913.763428	-64.092117
1916.455078	-61.427879
1919.146729	-61.080837
1921.838379	-59.292809
1924.530029	-61.003075
1927.221680	-64.060989
1929.913330	-62.356838
1932.604980	-66.618858
1935.296631	-71.266342
1937.988281	-72.143768
1940.679932	-66.555748
1943.371582	-69.975960
1946.063232	-73.458031
1948.754883	-71.308784
1951.446533	-68.861237
1954.138184	-66.352028
1956.829834	-65.662773
1959.521484	-71.947685
1962.213135	-69.824677
1964.904785	-72.150017
1967.596436	-73.161316
1970.288086	-74.202957
1972.979736	-83.892609
1975.671387	-74.471573
1978.363037	-72.712883
1981.054688	-74.970070
1983.746338	-77.583145
1986.437988	-73.476143
1989.129639	-70.676109
1991.821289	-69.126747
1994.512939	-66.880539
1997.204590	-64.020638
1999.896240	-66.385658
2002.587891	-68.548706
2005.279541	-70.119987
2007.971191	-75.828606
2010.662842	-75.435043
2013.354492	-69.400970
2016.046143	-69.150688
2018.737793	-68.461800
2021.429443	-70.201157
2024.121094	-75.235329
2026.812744	-72.529869
2029.504395	-69.997971
2032.196045	-69.891045
2034.887695	-75.642372
2037.579346	-78.808449
2040.270996	-77.649574
2042.962646	-71.269226
2045.654297	-72.419235
2048.345947	-78.466278
2051.037598	-75.480965
2053.729248	-73.404411
2056.420898	-76.246094
2059.112549	-74.598557
2061.804199	-76.752235
2064.495850	-81.567673
2067.187500	-81.075272
2069.879150	-88.534950
2072.570801	-79.238724
2075.262451	-77.146950
2077.954102	-78.598885
2080.645752	-77.966293
2083.337402	-76.745895
2086.029053	-73.650017
2088.720703	-80.556404
2091.412354	-82.343193
2094.104004	-78.643631
2096.795654	-77.990250
2099.487305	-78.088379
2102.178955	-81.198753
2104.870605	-80.999237
2107.562256	-77.403198
2110.253906	-76.141258
2112.945557	-72.889610
2115.637207	-72.907753
2118.328857	-74.225784
2121.020508	-79.478668
2123.712158	-80.659859
2126.403809	-79.402550
2129.095459	-79.329689
2131.787109	-83.706436
2134.478760	-82.608223
2137.170410	-73.180084
2139.862061	-74.098259
2142.553711	-79.806679
2145.245361	-77.877197
2147.937012	-79.331375
2150.628662	-82.487556
2153.320312	-79.748817
2156.011963	-78.369331
2158.703613	-79.686821
2161.395264	-77.917961
2164.086914	-76.053909
2166.778564	-74.075203
2169.470215	-76.111092
2172.161865	-76.171227
2174.853516	-71.973602
2177.545166	-75.744324
2180.236816	-72.248108
2182.928467	-79.043419
2185.620117	-83.735245
2188.311768	-73.301407
2191.003418	-70.623344
2193.695068	-72.865471
2196.386719	-71.568817
2199.078369	-73.564735
2201.770020	-72.402664
2204.461670	-71.440826
2207.153320	-72.182198
2209.844971	-80.286797
2212.536621	-75.420692
2215.228271	-75.155418
2217.919922	-76.321495
2220.611572	-77.490280
2223.303223	-78.678589
2225.994873	-73.421730
2228.686523	-70.031128
2231.378174	-74.600914
2234.069824	-73.944221
2236.761475	-70.748741
2239.453125	-72.874489
2242.144775	-73.648132
2244.836426	-72.525696
2247.528076	-72.656952
2250.219727	-73.102242
2252.911377	-78.271538
2255.603027	-78.518280
2258.294678	-78.230515
2260.986328	-70.317856
2263.677979	-71.906441
2266.369629	-67.260719
2269.061279	-70.245552
2271.752930	-67.860100
2274.444580	-62.191063
2277.136230	-68.012589
2279.827881	-72.347847
2282.519531	-72.844246
2285.211182	-72.665176
2287.902832	-71.751747
2290.594482	-70.428482
2293.286133	-68.269623
2295.977783	-66.524277
2298.669434	-67.779099
2301.361084	-69.613541
2304.052734	-76.009628
2306.744385	-83.728554
2309.436035	-78.075058
2312.127686	-78.307602
2314.819336	-81.417213
2317.510986	-77.208946
2320.202637	-73.934036
2322.894287	-79.485138
2325.585938	-82.209656
2328.277588	-77.036263
2330.969238	-85.892418
2333.660889	-86.410408
2336.352539	-74.017273
2339.044189	-75.850746
2341.735840	-75.618568
2344.427490	-72.366280
2347.119141	-71.593582
2349.810791	-81.347534
2352.502441	-79.637558
2355.194092	-79.491844
2357.885742	-80.033401
2360.577393	-84.346375
2363.269043	-83.084373
2365.960693	-77.892479
2368.652344	-80.611191
2371.343994	-82.182556
2374.035645	-80.902039
2376.727295	-76.084183
2379.418945	-76.261162
2382.110596	-77.899124
2384.802246	-78.721733
2387.493896	-80.771751
2390.185547	-80.086174
2392.877197	-78.336052
2395.568848	-72.542168
2398.260498	-73.381050
2400.952148	-84.042900
2403.643799	-82.448067
2406.335449	-86.440804
2409.027100	-77.604698
2411.718750	-78.037460
2414.410400	-78.846909
2417.102051	-77.236168
2419.793701	-81.215096
2422.485352	-78.879219
2425.177002	-72.710930
2427.868652	-73.320282
2430.560303	-75.863640
2433.251953	-84.317497
2435.943604	-80.641624
2438.635254	-78.802773
2441.326904	-80.028900
2444.018555	-83.950989
2446.710205	-81.007416
2449.401855	-79.692650
2452.093506	-80.691521
2454.785156	-83.323875
2457.476807	-81.006279
2460.168457	-78.409393
2462.860107	-78.774704
2465.551758	-87.264000
2468.243408	-82.798073
2470.935059	-82.708252
2473.626709	-81.278885
2476.318359	-78.991409
2479.010010	-80.348167
2481.701660	-83.139664
2484.393311	-86.961205
2487.084961	-83.840149
2489.776611	-80.662186
2492.468262	-79.856407
2495.159912	-80.179764
2497.851562	-77.999123
2500.543213	-78.350731
2503.234863	-77.311882
2505.926514	-79.654945
2508.618164	-82.537537
2511.309814	-83.230835
2514.001465	-85.341339
2516.693115	-81.273666
2519.384766	-82.862740
2522.076416	-82.932404
2524.768066	-82.213936
2527.459717	-81.091629
2530.151367	-83.112999
2532.843018	-82.960663
2535.534668	-81.352272
2538.226318	-84.054955
2540.917969	-85.648842
2543.609619	-82.819832
2546.301270	-81.683960
2548.992920	-76.236176
2551.684570	-75.776375
2554.376221	-79.390800
2557.067871	-82.133743
2559.759521	-81.539696
2562.451172	-84.262482
2565.142822	-82.550468
2567.834473	-73.795441
2570.526123	-72.532768
2573.217773	-77.089561
2575.909424	-82.095734
2578.601074	-77.919418
2581.292725	-83.166000
2583.984375	-82.830322
2586.676025	-74.842293
2589.367676	-76.458656
2592.059326	-79.581390
2594.750977	-83.693741
2597.442627	-86.214813
2600.134277	-83.901703
2602.825928	-82.034973
2605.517578	-81.591805
2608.209229	-82.598404
2610.900879	-81.591400
2613.592529	-81.162529
2616.284180	-79.642654
2618.975830	-78.553123
2621.667480	-80.093575
2624.359131	-87.097595
2627.050781	-81.635498
2629.742432	-82.545982
2632.434082	-81.913452
